epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,61.0365,0.70522,0.78641,1.07915,1.00783,0.77922,0.3625,0.46963,0.34792,0.84474,0.475,0.49063,0.3422,1.13076,2.26535,1.26289,1.28968,0.0004753,0.0004753,0.0004753
55,62.04,0.74525,0.63913,0.96384,0.96583,0.79227,0.37429,0.47493,0.35257,0.87683,0.47302,0.55693,0.35094,1.09823,2.31776,1.24638,1.27518,0.0004654,0.0004654,0.0004654
56,63.0667,0.68714,0.69493,1.07374,0.99137,0.79227,0.37429,0.47493,0.35257,0.87683,0.47302,0.55693,0.35094,1.09823,2.31776,1.24638,1.27518,0.0004555,0.0004555,0.0004555
57,64.2369,0.72901,0.67595,1.07763,0.99819,0.74647,0.475,0.46158,0.3295,0.75789,0.4875,0.46937,0.33434,1.15747,2.409,1.24801,1.29873,0.0004456,0.0004456,0.0004456
58,65.2305,0.68707,0.88921,0.99147,0.96249,0.74647,0.475,0.46158,0.3295,0.75789,0.4875,0.46937,0.33434,1.15747,2.409,1.24801,1.29873,0.0004357,0.0004357,0.0004357
59,66.1347,0.67714,0.65393,1.02244,0.98752,0.7654,0.46402,0.5211,0.39236,0.77703,0.47593,0.52802,0.39084,1.18608,2.11427,1.22352,1.28604,0.0004258,0.0004258,0.0004258
60,67.1759,0.65288,0.75995,1.10413,0.97903,0.7654,0.46402,0.5211,0.39236,0.77703,0.47593,0.52802,0.39084,1.18608,2.11427,1.22352,1.28604,0.0004159,0.0004159,0.0004159
61,68.1875,0.68902,0.74158,1.07934,1.01396,0.51381,0.4875,0.5396,0.4123,0.9755,0.44032,0.60902,0.38792,1.1658,1.94763,1.19516,1.25719,0.000406,0.000406,0.000406
62,69.247,0.70297,0.72332,1.03637,0.9785,0.51381,0.4875,0.5396,0.4123,0.9755,0.44032,0.60902,0.38792,1.1658,1.94763,1.19516,1.25719,0.0003961,0.0003961,0.0003961
63,70.258,0.69113,0.63785,0.96996,0.96102,0.76554,0.3625,0.51793,0.40395,0.97423,0.44336,0.60976,0.39103,1.15282,1.82249,1.19624,1.28489,0.0003862,0.0003862,0.0003862
64,71.2103,0.66772,0.67579,0.94809,0.95393,0.76554,0.3625,0.51793,0.40395,0.97423,0.44336,0.60976,0.39103,1.15282,1.82249,1.19624,1.28489,0.0003763,0.0003763,0.0003763
65,72.1942,0.67216,0.66946,0.93651,0.96739,0.51931,0.4875,0.53078,0.41134,0.97149,0.45597,0.63031,0.40867,1.06648,1.71092,1.13957,1.25591,0.0003664,0.0003664,0.0003664
66,73.147,0.65192,0.66197,0.98197,0.93532,0.51931,0.4875,0.53078,0.41134,0.97149,0.45597,0.63031,0.40867,1.06648,1.71092,1.13957,1.25591,0.0003565,0.0003565,0.0003565
67,74.111,0.65241,0.67485,1.02343,0.95203,0.96529,0.44661,0.66165,0.44395,0.96529,0.44661,0.64895,0.42383,1.03868,1.6451,1.13947,1.21509,0.0003466,0.0003466,0.0003466
68,75.1741,0.67839,0.72645,1.02889,0.98387,0.96529,0.44661,0.66165,0.44395,0.96529,0.44661,0.64895,0.42383,1.03868,1.6451,1.13947,1.21509,0.0003367,0.0003367,0.0003367
69,76.2062,0.65686,0.62702,0.94447,0.95171,0.96488,0.43713,0.65962,0.44288,0.96488,0.43713,0.65652,0.44675,1.02972,1.54504,1.16016,1.18921,0.0003268,0.0003268,0.0003268
70,77.152,0.69989,0.65476,0.96466,0.96706,0.96488,0.43713,0.65962,0.44288,0.96488,0.43713,0.65652,0.44675,1.02972,1.54504,1.16016,1.18921,0.0003169,0.0003169,0.0003169
71,78.4211,0.69016,0.61075,0.9589,0.96258,0.94846,0.425,0.65755,0.45574,0.96399,0.43568,0.66527,0.45882,1.03539,1.48736,1.17376,1.17837,0.000307,0.000307,0.000307
72,79.6112,0.6284,0.67179,0.94715,0.98508,0.94846,0.425,0.65755,0.45574,0.96399,0.43568,0.66527,0.45882,1.03539,1.48736,1.17376,1.17837,0.0002971,0.0002971,0.0002971
73,82.413,0.6086,0.52383,0.95915,0.96665,0.94596,0.43227,0.65453,0.44994,0.96326,0.44477,0.66247,0.46284,1.06805,1.4553,1.19042,1.17969,0.0002872,0.0002872,0.0002872
74,83.5791,0.69548,0.62294,0.88274,0.96124,0.94596,0.43227,0.65453,0.44994,0.96326,0.44477,0.66247,0.46284,1.06805,1.4553,1.19042,1.17969,0.0002773,0.0002773,0.0002773
75,84.641,0.7117,0.61163,0.9166,0.95917,0.93791,0.4284,0.63545,0.44974,0.95645,0.44073,0.64984,0.45488,1.06202,1.48536,1.1879,1.18008,0.0002674,0.0002674,0.0002674
76,85.7179,0.60936,0.58716,0.9159,0.94149,0.93791,0.4284,0.63545,0.44974,0.95645,0.44073,0.64984,0.45488,1.06202,1.48536,1.1879,1.18008,0.0002575,0.0002575,0.0002575
77,87.8134,0.62261,0.56442,0.91437,0.94381,0.95118,0.42798,0.6323,0.46421,0.96976,0.44032,0.63331,0.44471,1.03606,1.49973,1.13609,1.17442,0.0002476,0.0002476,0.0002476
78,88.8622,0.6577,0.62923,0.98705,0.97364,0.95118,0.42798,0.6323,0.46421,0.96976,0.44032,0.63331,0.44471,1.03606,1.49973,1.13609,1.17442,0.0002377,0.0002377,0.0002377
79,89.9799,0.6334,0.55603,0.88683,0.92395,0.64661,0.6,0.65737,0.47278,0.9597,0.44936,0.65181,0.45062,1.01758,1.52647,1.10436,1.16866,0.0002278,0.0002278,0.0002278
80,91.4458,0.59275,0.54461,0.91083,0.98128,0.64661,0.6,0.65737,0.47278,0.9597,0.44936,0.65181,0.45062,1.01758,1.52647,1.10436,1.16866,0.0002179,0.0002179,0.0002179
81,92.6704,0.60541,0.74958,0.89283,0.94327,0.65994,0.66731,0.67222,0.46901,0.68833,0.7,0.67324,0.44888,1.00293,1.61996,1.07216,1.16102,0.000208,0.000208,0.000208
82,93.7484,0.61688,0.63503,0.92676,0.96777,0.65994,0.66731,0.67222,0.46901,0.68833,0.7,0.67324,0.44888,1.00293,1.61996,1.07216,1.16102,0.0001981,0.0001981,0.0001981
83,94.8101,0.63556,0.6395,0.9283,0.96904,0.9498,0.44492,0.65035,0.45857,0.96571,0.45742,0.67863,0.44866,1.02,1.79815,1.09102,1.18035,0.0001882,0.0001882,0.0001882
84,96.3205,0.62903,0.77078,0.85489,0.93782,0.9498,0.44492,0.65035,0.45857,0.96571,0.45742,0.67863,0.44866,1.02,1.79815,1.09102,1.18035,0.0001783,0.0001783,0.0001783
